author,text,classification
@Michael-vh1re,These people are freaks!,1
@stephaniechapman2010,Ben Shapiro is correct.,0
@gregoryjones7189,I wish I was Ben for that moment. The coroner would have been pulling that dudes nuts out of â€œherâ€_x009d_ mouth.,1
@countryroadstakemehome,"If you're the smartest one in the room, you're in the wrong room.",0
@countryroadstakemehome,"He'd never say that to someone that is a physical threat, cowardly.",1
@ronniefoster5099,Everyone in the room flunked biology except Ben.,1
@ronniefoster5099,Why would he go home in an ambulance?,0
@Orhams,He is disgusting with a disgusting ideology. ðŸ¤®,1
@sheismymom,"looks like a man, sounds like a man, physically violent",1
@alfredohernandez4187,So ambulance is going to take him home??! That thing is crazy!,0
@Steven-b5q3w,It's her you're not being polite to the pronouns ðŸ˜‚,0
@benidect5955,I only see Ben Shapiro standing for truth without fear while many people around there are fearful to stand for truth and choses to side on the foolishness.,0
@justaninksearcher,"I don't care what side you're on in this debate, what Zoe Tur did is not justified in any way
Also funnily enough, Caitlyn herself mostly agrees with Ben on this lol",0
@makeitname7656,"that dude crossdresser she is a man, male, gentleman",0
@rheel6747,Is that Quagmires dad?,0
@tombritton3471,Was that threat from the man inside inside or what?,0
@D4NK1,"Ben wimped out. He can say whatever he wants on podcasts now. But he was like a deer in the headlights here.

The leader of the high school debate team sees what its like on the street in the real world.",1
@roberthobo4871,So that man can threaten ben shapiro and no charges or arrrest.  Lock up the loser.  He is a man and needs to grow up.  You dont treaten ppl with your arm around there neck....,1
@kittendivine1,"So fucked up that after someone puts their hands on someone else and threatens with physical violence, the hosts focus on the supposed rudeness of the person being threatened instead of condemning the threat.

This is identity politics gone too far. Trans person=victim no matter what. You disagree with something, you are a transphobe.",1
@fred01x,very hard to keep your male side hidden when annoyed lol,1
@Diaz0325,"This is crazy how this has gone this far, man is man woman is woman, thats it, ben kept calm, while the OTHER MAN threaten him, smh",0
@KT-qm3gx,Mr Zoey Turd is a fraud,1
@TheGamersGuide819,Ben is a legend . Thank God for him,0
@neilsdechamp,Still got that dog in you lol. Cant hide that.,1
@Dc-vp9im,Lmao you'll go home in a ambulance.,0
@ShanonRanginui,He got his cock chopped cause Diddy said he had too...,1
@tamarabrown6739,"""You knew what you said would incite violence""  so it's ok to be violent if someone hurts your feelings?",0
@taylordru7361,Iâ€™m sorry we are gonna need a replay on that. Being transgender is the bravest thing you can do?! Who dropped this man on his head?,0
@james654100,Bruce stole a legitimate Award for women. Lunacy. Sick.,1
@Crowbars2,"It's so funny that Ben said ""facts don't care about your feelings"" since Ben's arguing from emotion here, and the facts are completely against him on this.
 Ben should've said ""My feelings don't care about the facts.""",0
@MuSt4nG80,"Como cuando te sale el verdadero YO en ti: y haces un comentario totalmente de hombre/macho, y eso puedes verlo en la naturaleza, los hombres/machos al sentirnos que estamos 
perdiendo el control frente a otro macho, tratamos de recuperarlo a base de la fuerza bruta, y bueno aqui el chiste se cuenta solo: aqui shapiro le hubiera contestado: ya ves? al final 
se te salio el machito del que tanto estas tratando de desaparecer",0
@kwakusoul9904,"If America discusses this issue, then she is on the path to real decline. Smh.",1
@lorysmidt6592,"The most difficult thing you can do is being an actual mother with a dead child.   He needs to live in the real world! This MAN makes me sick!  Genetics are pushing a
 living person out of your own body!  I would like to this alleged woman who is actually a man perform this act!",1
@scottmooredrakoedragon9891,Should be titled man dressed as a woman threatens man who had the balls to say thatðŸ˜‚,1
@Hitslikeabich,Iâ€™ll call those freaks whatever I see them as,1
@markvilstrup4121,"Seriously though, I wish allt he worst for Zoey Tur. Truly set backt he transgender movement years by doing this. You don't get to respond to words with fists.
 If that's okay, then transgender people are going to be beaten down, left and right.",1
@shannonmundy1684,"If any man thinks he can be a woman he can forget about it!  I will pronounce the word HE, there's no way any man can ever experience what a woman experiences, 
from the first period, childbirth to menopause, if a biological man thinks he can be a woman FORGET ABOUT IT!!!! And I'm insulted at the idea of it. Grow your hair long, w
ear some pretty dresses, you are not a woman!!!",0
@gfelix3552,Because it is a damn delusion. Damn the USA really is becoming stupider as years go by. Sigh .....,1
@stevesquire2590,me I'd kicked his ass........,1
@Mp.k2day,It's absurd that they all flock to Tur's defense,1
@Mp.k2day,This man with a blonde wig,0
@emreeren13,"That's the problem with this people, they always get so emotional bcs they didn't solve their inner conflict yet and it's impossible to talk to them. I already had talks with trans people who did solve their conflict and the talk was very different. Understanding and informative.
Genderdysphoria is no joke, very complex to understand due to biology and psychology going hand in hand... sadly it's not going to be understood by the crowd very soon.",1
@paulsmith9786,IT'S MA'AM!,0
@user-tz6rk4dy5s,"What a joke, these people are a joke! Ben is a legend!",1
@levneyman6183,I am transphobic. I find them to be unnatural beings. No Iâ€™m not a trump supporter.,1
@robertdemaree2165,I would took care of business right then,0
@RobertB-bm5cn,"Mr. Shapiro I am sorry to see threatened during an intectial discussion you argument is correct there is no way to turn a man into a woman. A disguise or hormones
 don't change the persons sex. I wish these people would be told the truth about that fact.",0
@S373N1,2:04 male hormones incoming,1
@user-jg6vi4cd7v,BEN is RIGHT ! so RIGHT!!!!!,0
@YTonYahoo,I remember when this was new,0
@æµ·é˜”å¤©ç©º-SO,I have never seen a woman threatening a man in this manner.  Jennifer just proved she is actually a DUDEðŸ˜‚ðŸ˜‚,1
@mryugo7829,"0:25 when i grew up to bravest thing you can do is to protect your own family and country....suck people nowadays that pushing these sick gay agendas on people and our
kids in school....ban this sick shit ! media shoukld not give them any platform ! except for them that wlays pushing this out cause they got paid like on zionist movement and so on",1
@naijafoodchallenge,"Americans are so foolish...ðŸ˜‚
So, a full grown man wakes up in the morning, wearing a lady's gown and now prefers to be called a woman...ðŸ˜‚ 
In addition to that he can now use women's bathroom, play women's sports, and be throne into women's prison ðŸ˜‚ðŸ¤£ðŸ¤£
And everyone in the room agrees with him except just one person who everyone want kicked out so it can be all FOOLISH people.
And the woman/man threatens people ðŸ¤£ðŸ˜‚",1
@davidjackson2690,"Shapiro is a little dude, the dude in the dress woulda got his ass kicked had I been on the stage.",1
@petradoots584,BEN is a repressed homosexual....why he talk sooooo fast is a mental mysteryðŸ˜ŠðŸ˜ŠðŸ˜Šw2ðŸ˜Š,1
